cw	x	y	cluster_number	medoid_label	silhouette	final_cluster
everything/pn	-4.894706402220079	-3.4943885401729218	14	one/pn	0.6205806	one/pn
example/nn	1.0327492547333463	-2.015733188858097	6	experience/nn	0.019458879	experience/nn
exercise/nn	-11.23584730996429	9.29129204347732	7	transfusion/nn	0.34957722	transfusion/nn
experience/nn	6.23659190962377	18.68425201819183	6	experience/nn	0.47614768	experience/nn
exposure/nn	0.13441970394109454	11.346519932582563	13	activity/nn	0.16629802	activity/nn
extra/nn	33.47691231772865	-7.4836695152521315	9	worth/nn	0.10119905	worth/nn
f/np	-11.510514549870978	-15.938152726318606	4	broadcast/nn	0.29779404	broadcast/nn
facts/nn	-0.8765762033828488	-1.9199921099286352	14	one/pn	0.3023022	one/pn
feel/nn	-2.5482094075036215	-3.6805777463971774	14	one/pn	0.5331789	one/pn
feeling/nn	5.167611494947411	17.7937796255524	6	experience/nn	0.48605257	experience/nn
felony/nn	17.62701898855519	-2.6147245505429364	5	jurisdiction/nn	0.66246396	jurisdiction/nn
fifteen/mc	36.47142351777032	-14.832074126544025	8	minute/nn	0.4803543	minute/nn
fifty-thousand/mc	35.798704891515236	-12.138143419814048	9	worth/nn	0.32431436	worth/nn
figure/nn	1.2860509473913633	-1.7860622130664647	6	experience/nn	0.1253791	experience/nn
fingerprint/nn	-12.446508735314373	3.819791180447307	12	list/nn	-0.053180307	NA
firepower/nn	12.1934642998442	9.193937757970577	1	access/nn	0.15272316	access/nn
fish/nn	-33.575957473578306	7.309047361057385	11	tang/nn	0.54420245	tang/nn
flavor/nn	-33.95852833128609	9.159564299640651	11	tang/nn	0.7028534	tang/nn
flexibility/nn	14.693043587701151	9.047804628288615	1	access/nn	0.07244606	access/nn
focus/nn	17.380271508391985	12.878648513907228	0	thrust/nn	0.4469189	thrust/nn
food/nn	-31.780055252135227	8.527400576021579	11	tang/nn	0.3460276	tang/nn
foothold/nn	14.035926416661885	10.904787113617315	0	thrust/nn	0.19456515	thrust/nn
four/nn	34.980315138391724	-16.825559390669397	8	minute/nn	0.579786	minute/nn
freedom/nn	15.383697664093832	13.781021802103297	0	thrust/nn	0.30150297	thrust/nn
friday/np	-6.988987731663726	-20.962508379761633	4	broadcast/nn	0.12860757	broadcast/nn
fruit/nn	-33.50158428203121	8.251588720662415	11	tang/nn	0.690266	tang/nn
game/nn	-21.322179823097485	-11.09950135576436	12	list/nn	-0.04065442	NA
gift/nn	-39.75734415818312	0.019511408171765422	3	pat/nn	0.18378185	pat/nn
glass/nn	-32.796853473282	0.9694570938409439	3	pat/nn	0.19250825	pat/nn
